Year,MAPE,algo,cov,algocov,day,resolution
2015,0.21263917287948841,TFT,SARI+LC,TFT_SARI+LC,4,D
2015,0.13903655335096254,TFT,SARI+AGE,TFT_SARI+AGE,4,D
2015,0.21458895902768674,TFT,SARI+AGE+LC,TFT_SARI+AGE+LC,4,D
2015,0.1760954954254289,DeepAR,SARI,DeepAR_SARI,4,D
2015,0.17180256130475874,DeepAR,SARI+LC,DeepAR_SARI+LC,4,D
2015,0.17794070221846817,DeepAR,SARI+AGE,DeepAR_SARI+AGE,4,D
2015,0.1530224134671203,DeepAR,SARI+AGE+LC,DeepAR_SARI+AGE+LC,4,D
2015,0.11035672639764038,Chronos,SARI,Chronos_SARI,4,D
2015,0.1449893356273136,AutoML,SARI,AutoML_SARI,4,D
2016,0.1317047122759747,TFT,SARI,TFT_SARI,4,W
2016,0.15283984303448434,TFT,SARI,TFT_SARI,4,D
2016,0.17351133701816696,TFT,SARI+LC,TFT_SARI+LC,4,D
2016,0.15975957706755708,TFT,SARI+AGE,TFT_SARI+AGE,4,D
2016,0.16255568284780134,TFT,SARI+AGE+LC,TFT_SARI+AGE+LC,4,D
2016,0.1514768481043523,DeepAR,SARI,DeepAR_SARI,4,D
2016,0.1315580218935482,DeepAR,SARI+LC,DeepAR_SARI+LC,4,D
2016,0.11397490350963348,DeepAR,SARI+AGE,DeepAR_SARI+AGE,4,D
2016,0.12538507827989917,DeepAR,SARI+AGE+LC,DeepAR_SARI+AGE+LC,4,D
2016,0.139333164318149,Chronos,SARI,Chronos_SARI,4,D
2016,0.17228011489760767,AutoML,SARI,AutoML_SARI,4,D
2017,0.09881318034025344,TFT,SARI,TFT_SARI,4,W
2017,0.11687436098101912,TFT,SARI,TFT_SARI,4,D
2017,0.1284179795478279,TFT,SARI+LC,TFT_SARI+LC,4,D
2017,0.1307543496812773,TFT,SARI+AGE,TFT_SARI+AGE,4,D
2017,0.16701733064991656,TFT,SARI+AGE+LC,TFT_SARI+AGE+LC,4,D
2017,0.1350526683893618,DeepAR,SARI,DeepAR_SARI,4,D
2017,0.13044986151157537,DeepAR,SARI+LC,DeepAR_SARI+LC,4,D
2017,0.1292729571169061,DeepAR,SARI+AGE,DeepAR_SARI+AGE,4,D
2017,0.1369591082001896,DeepAR,SARI+AGE+LC,DeepAR_SARI+AGE+LC,4,D
2017,0.11529433810522186,Chronos,SARI,Chronos_SARI,4,D
2017,0.1551064302063696,AutoML,SARI,AutoML_SARI,4,D
2018,0.09138240494538606,TFT,SARI,TFT_SARI,4,W
2018,0.1166348265704081,TFT,SARI,TFT_SARI,4,D
2018,0.13883845666740247,TFT,SARI+LC,TFT_SARI+LC,4,D
2018,0.12407411585236666,TFT,SARI+AGE,TFT_SARI+AGE,4,D
2018,0.13357835542532234,TFT,SARI+AGE+LC,TFT_SARI+AGE+LC,4,D
2018,0.12256556404221924,DeepAR,SARI,DeepAR_SARI,4,D
2018,0.13115589149328363,DeepAR,SARI+LC,DeepAR_SARI+LC,4,D
2018,0.1308252464637799,DeepAR,SARI+AGE,DeepAR_SARI+AGE,4,D
2018,0.13139757787158654,DeepAR,SARI+AGE+LC,DeepAR_SARI+AGE+LC,4,D
2018,0.12672921306500606,Chronos,SARI,Chronos_SARI,4,D
2018,0.11383237716636338,AutoML,SARI,AutoML_SARI,4,D
2019,0.10098511615176207,TFT,SARI,TFT_SARI,4,W
2019,0.11793780232373122,TFT,SARI,TFT_SARI,4,D
2019,0.16040483013119275,TFT,SARI+LC,TFT_SARI+LC,4,D
2019,0.13056315314544123,TFT,SARI+AGE,TFT_SARI+AGE,4,D
2019,0.15516098344529095,TFT,SARI+AGE+LC,TFT_SARI+AGE+LC,4,D
2019,0.10224591432288274,DeepAR,SARI,DeepAR_SARI,4,D
2019,0.10957568475828093,DeepAR,SARI+LC,DeepAR_SARI+LC,4,D
2019,0.11066496315106453,DeepAR,SARI+AGE,DeepAR_SARI+AGE,4,D
2019,0.11565285235691851,DeepAR,SARI+AGE+LC,DeepAR_SARI+AGE+LC,4,D
2019,0.09885704552313343,Chronos,SARI,Chronos_SARI,4,D
2019,0.13318743530428917,AutoML,SARI,AutoML_SARI,4,D
2014,0.15957224597360342,TFT,SARI,TFT_SARI,5,D
2014,0.2273185400159167,TFT,SARI+LC,TFT_SARI+LC,5,D
2014,0.16994381371787748,TFT,SARI+AGE,TFT_SARI+AGE,5,D
2014,0.22469400853967514,TFT,SARI+AGE+LC,TFT_SARI+AGE+LC,5,D
2014,0.16432262015852628,DeepAR,SARI,DeepAR_SARI,5,D
2014,0.1864320556891104,DeepAR,SARI+LC,DeepAR_SARI+LC,5,D
2014,0.18416752978580622,DeepAR,SARI+AGE,DeepAR_SARI+AGE,5,D
2014,0.17226230035854273,DeepAR,SARI+AGE+LC,DeepAR_SARI+AGE+LC,5,D
2014,0.1184137510145764,Chronos,SARI,Chronos_SARI,5,D
2014,0.16684153006306102,AutoML,SARI,AutoML_SARI,5,D
2015,0.13145824259292072,TFT,SARI,TFT_SARI,5,D
2015,0.2136434291768837,TFT,SARI+LC,TFT_SARI+LC,5,D
2015,0.14418996900199796,TFT,SARI+AGE,TFT_SARI+AGE,5,D
2015,0.22054020346159,TFT,SARI+AGE+LC,TFT_SARI+AGE+LC,5,D
2015,0.1885573084961721,DeepAR,SARI,DeepAR_SARI,5,D
2015,0.18873513107448678,DeepAR,SARI+LC,DeepAR_SARI+LC,5,D
2015,0.20236051505470237,DeepAR,SARI+AGE,DeepAR_SARI+AGE,5,D
2015,0.1708230527892089,DeepAR,SARI+AGE+LC,DeepAR_SARI+AGE+LC,5,D
2015,0.12315924088403449,Chronos,SARI,Chronos_SARI,5,D
2015,0.15553291590883475,AutoML,SARI,AutoML_SARI,5,D
2016,0.1651689072398358,TFT,SARI,TFT_SARI,5,D
2016,0.17091782586720874,TFT,SARI+LC,TFT_SARI+LC,5,D
2016,0.16779814212731314,TFT,SARI+AGE,TFT_SARI+AGE,5,D
2016,0.16753632987778475,TFT,SARI+AGE+LC,TFT_SARI+AGE+LC,5,D
2016,0.1676994598320325,DeepAR,SARI,DeepAR_SARI,5,D
2016,0.14913136933842255,DeepAR,SARI+LC,DeepAR_SARI+LC,5,D
2016,0.1321986786408712,DeepAR,SARI+AGE,DeepAR_SARI+AGE,5,D
2016,0.13825016672151685,DeepAR,SARI+AGE+LC,DeepAR_SARI+AGE+LC,5,D
2016,0.1594111395837179,Chronos,SARI,Chronos_SARI,5,D
2016,0.1939132611646813,AutoML,SARI,AutoML_SARI,5,D
2017,0.12977489807310427,TFT,SARI,TFT_SARI,5,D
2017,0.14085089826056202,TFT,SARI+LC,TFT_SARI+LC,5,D
2017,0.12889942598781945,TFT,SARI+AGE,TFT_SARI+AGE,5,D
2017,0.1641679233135704,TFT,SARI+AGE+LC,TFT_SARI+AGE+LC,5,D
2017,0.15249820492793162,DeepAR,SARI,DeepAR_SARI,5,D
2017,0.15100385049117437,DeepAR,SARI+LC,DeepAR_SARI+LC,5,D
2017,0.15263215073283634,DeepAR,SARI+AGE,DeepAR_SARI+AGE,5,D
2017,0.1575452630555443,DeepAR,SARI+AGE+LC,DeepAR_SARI+AGE+LC,5,D
2017,0.1255539720306157,Chronos,SARI,Chronos_SARI,5,D
2017,0.1731829064077193,AutoML,SARI,AutoML_SARI,5,D
2018,0.12534115092959694,TFT,SARI,TFT_SARI,5,D
2018,0.13747470346778373,TFT,SARI+LC,TFT_SARI+LC,5,D
2018,0.1226000421838338,TFT,SARI+AGE,TFT_SARI+AGE,5,D
2018,0.13427222943902511,TFT,SARI+AGE+LC,TFT_SARI+AGE+LC,5,D
2018,0.13777570833711675,DeepAR,SARI,DeepAR_SARI,5,D
2018,0.1489312753431607,DeepAR,SARI+LC,DeepAR_SARI+LC,5,D
2018,0.15149819035990048,DeepAR,SARI+AGE,DeepAR_SARI+AGE,5,D
2018,0.15364187899403148,DeepAR,SARI+AGE+LC,DeepAR_SARI+AGE+LC,5,D
2018,0.14722358237936417,Chronos,SARI,Chronos_SARI,5,D
2018,0.129648877203845,AutoML,SARI,AutoML_SARI,5,D
2019,0.12714646493081144,TFT,SARI,TFT_SARI,5,D
2019,0.16916697995165675,TFT,SARI+LC,TFT_SARI+LC,5,D
2019,0.14297056667304583,TFT,SARI+AGE,TFT_SARI+AGE,5,D
2019,0.15968856032541262,TFT,SARI+AGE+LC,TFT_SARI+AGE+LC,5,D
2019,0.11575933346520542,DeepAR,SARI,DeepAR_SARI,5,D
2019,0.11698383115292448,DeepAR,SARI+LC,DeepAR_SARI+LC,5,D
2019,0.12576284257098777,DeepAR,SARI+AGE,DeepAR_SARI+AGE,5,D
2019,0.13401674293355229,DeepAR,SARI+AGE+LC,DeepAR_SARI+AGE+LC,5,D
2019,0.11341768727910093,Chronos,SARI,Chronos_SARI,5,D
2019,0.14253682866869036,AutoML,SARI,AutoML_SARI,5,D
2014,0.16721116650689885,TFT,SARI,TFT_SARI,6,D
2014,0.23443802307622214,TFT,SARI+LC,TFT_SARI+LC,6,D
2014,0.18027703923862592,TFT,SARI+AGE,TFT_SARI+AGE,6,D
2014,0.23480102920243273,TFT,SARI+AGE+LC,TFT_SARI+AGE+LC,6,D
2014,0.18067229761215212,DeepAR,SARI,DeepAR_SARI,6,D
2014,0.19856982736926937,DeepAR,SARI+LC,DeepAR_SARI+LC,6,D
